id,title,artist,category,year,youtube_id,channel,verification_status,notes
mar-discovery-d08443f44fd3,Ravi Mee,Hrishikesh Badve,natya-sangeet,,0iVINT5DUmQ,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-1816e4dd2589,Jai Dev Jai Shri Swami Samartha,Ajit Kadkade,marathi-bhakti,,0hbH4evGVMM,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-65579c780734,Tu Majala Jinkiyale,Meenaxi,marathi-classics; marathi-film,,1hhCQ4O2_v0,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-94cda36d9f20,Bappa Moraya Re,Prahlad Shinde,marathi-bhakti,,1rsHSnorMNM,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-dev-029,Sukhkarta Dukhharta,Lata Mangeshkar,marathi-bhakti,,2LoxjhZ8jRo,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-a5dae8496cc3,Visru Nako Shrirama,Lata Mangeshkar,marathi-bhakti,,2p93uzG93Sw,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-ac0b0758de40,Dur Dur,Nachiket Lele; Sai Godbole,romantic; marathi-film,,33SPV1ERacs,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-folk-009,Shoor Amhi Sardar,Pt. Hridaynath Mangeshkar,patriotic,,2v92Fga9vZ4,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-natya-012,De Hata Ya Sharanagata,Prabhakar Karekar,natya-sangeet,,31v7OmY4GxY,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-24597937122b,Tujyaa Naynant,Master Vinayak,marathi-classics; marathi-film,,3Fve8NGgLos,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-film-031,Akhercha Tula Ha Dandvat,Lata Mangeshkar,marathi-classics; marathi-film,,3_G7NcKaaLc,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null. Publisher lyricist credit appears inconsistent; omitted pending corroboration.
mar-discovery-4ffe2a5a3527,Ambabaicha Udo Udo,Pralhad Shinde,marathi-bhakti,,3iOFzMb4ATM,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-0e54e7476ac6,Dehachi Tijori,Sudhir Phadke,marathi-bhakti,,4A3Kcd7nLJ8,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-dev-003,Dnyaniyancha Raja,Pt. Bhimsen Joshi,marathi-bhakti,,4UKlLO45N9I,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-natya-044,Prem Seva Sharan,Anand Bhate; Aarya Ambekar,natya-sangeet,,4gXpTDLPAuU,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-9fb554c561f7,Manachya Dhundit Lahrit Ye Na,Jaywant Kulkarni,bhavageet,,5IemxHap9ls,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-ec6773bde3d7,Nakshatranche Dene,Javed Ali,romantic; marathi-film,,5NWPB4tyl7o,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-cls-019,Raja Lalkari Ashi De,Anuradha Paudwal; Suresh Wadkar,marathi-classics; marathi-film,,65y1HN5abp0,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-film-023,Chandra Ahe Sakshila,Asha Bhosle; Sudhir Phadke,marathi-classics; marathi-film,,6YQ2lD9sJOA,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-861dbe0674c4,Tagamaga Hote Jeevachi,Pratibha Singh Baghel; Shivam Mahadevan,natya-sangeet,,6rCtOjLFRbA,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-dc4dc9042a3a,Jayostute Shree Mahanmangale,Lata Mangeshkar,patriotic,,7805YbbuImo,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-1caadd2abce7,Jawoo Nako Dur Asa,Meenaxi,marathi-classics; marathi-film,,7Ebd_EXytt8,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-06b74f60cec0,Runu Jhunu Runu Jhunu Re Bhramara,Lata Mangeshkar,marathi-bhakti,,7Paa8qQFIx8,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-1c80319a4a27,Gaav Bolavato,Manish Rajgire,folk,,88gCManpgS8,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-40ed2def6619,Majha Jivachya Jivalag Rani Ga,Master Gangaram,marathi-classics; marathi-film,,8cSq7j1nEoc,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-95a483d9a03f,Dhan Rashi Disata,Manik Varma,natya-sangeet,,93GyWm4PVwM,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-cls-016,Nimbonichya Zadamage,Suman Kalyanpur,marathi-classics; marathi-film,,9JukBaAtLUM,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-f450153dba75,Jara Jara Man Khulavte,Anandi Joshi; Abhay Jodhpurkar,romantic; marathi-film,,9Np9rP666x8,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-ae6bb95c40fd,Shree Satyanarayanachi Katha,Prahlad Shinde,marathi-bhakti,,9mAqZwDYd04,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-5126d96bf2ad,Magato Mee Pandurang,Prahlad Shinde,marathi-bhakti,,AZBfFpYTu40,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-7de4de16c36e,Maun Tu Maun Mee (Unplugged),Sonu Nigam,romantic; marathi-film,,BAImRqhnK_s,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-fb0741ade9c3,Sagara Pran Talmalala,Lata Mangeshkar; Meena; Usha Mangeshkar; Pt. Hridaynath Mangeshkar,patriotic,,B708zzX2wkE,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-caab9effdfcc,Mi Mhanen Tujala Dadya,Lata Mangeshkar,marathi-classics; marathi-film,,BD6gYxAUSoI,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-bee135bdf9bf,Ved Hai – Hey Minnale Marathi,Aarya Ambekar; Harshavardhan Wavare,romantic; marathi-film,,BK-ouH0lN9Y,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-db81d6f0194d,He Natanagar,Padmanabh Gaikwad,natya-sangeet; marathi-bhakti,,CuXzK0HiZJs,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-ad705f62889f,Vandan Ho,Shankar Mahadevan; Rahul Deshpande; Mahesh Kale,natya-sangeet,,BXTlDv2hsUc,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-65cc1d01400f,Daav Modu Nako,Vaishali Samant; Konkan Kanya,romantic; marathi-film,,DYakHt14fKw,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-cd4ed0b95379,Neet Paha,Jasraj Joshi,natya-sangeet,,E7bkh29ODsc,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-f2c8b6b78756,Rusali Hi Radha,Snehaprabha Pradhan,gavlani,,Dk1m_OMRRaE,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-824474a81cf3,Bhali Chandra Ase Dharila,Ramdas Kamat,natya-sangeet,,DeTGR3qhbwk,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-3e0dff582231,Hrutu Vasant,Shankar Mahadevan; Bela Shende,natya-sangeet,,EN8Te8GAjro,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-6f5d9316623a,Shravan Aala Taru Tarula,Lata Mangeshkar,marathi-classics; marathi-film,,Edu1gBJdiXg,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-0e54d1631ebf,Sakhi Mand Jhalya Taarka,Sudhir Phadke,bhavageet,,Epadgd3fRLs,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-ab1bc99927f9,Taal Bole Chipalia,Pt. Bhimsen Joshi; Dr. Vasantrao Deshpande,marathi-bhakti,,FPLaMFsc48U,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-14b8bd79f7cf,Aanandache Dohi Aanand Tarang,Lata Mangeshkar,marathi-bhakti,,FRyPiTBZsfA,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-631ca887c8d8,Nahi Koni Pahat,Meenakshi,marathi-classics; marathi-film,,FpDK7nGwO6I,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-bf2d2f43b4e0,Rachilya Rushi Munini,Usha Mangeshkar,marathi-bhakti,,G3RKOEc_sSY,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-d6b3af2571c4,Dayaghana,Sonu Nigam,bhavageet,,GUs5vOJem5k,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-7da1bde983f2,Bailgadyacha Naad,Radha Khude,lavani,,Hyk7HimDC9k,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-a1cbd89d23fa,Rajas sukumar madanacha putala,Pt. Bhimsen Joshi,marathi-bhakti,,Iin7irLtEhk,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-76d51ad92024,Yaare Navya Yugaachi,Meenaxi,patriotic,,IyqafPtOeIw,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-cdb4dc33bcc9,Tu Chal Pudha,Vivek Hariharan,romantic; marathi-film,,J4JGzl4Vg-M,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-54f9f7981359,Disla Ga Bai Disla 2.0,Radha Khude; Aadarsh Shinde; Vishwajeet Joshi,romantic; marathi-film,,J4iZVswaW6w,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-4b0c55723686,Mee Kashala Aarshat Pahu Ga,Usha Mangeshkar,lavani,,JWMlIV9UV3s,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-aa1e4db78aa1,Thamba Jara,Aanandi Joshi,lavani,,LkhrWv22S0o,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-f31693b08ab4,Nach Re Mora,Madhura Datar,folk,,LaUeGdN7j2I,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-cls-014,Dis Jatil Dis Yetil,Asha Bhosle; Suresh Wadkar,marathi-classics; marathi-film,,LoKfGaFbfNw,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-7f28be8acb9f,Dhairyasheel Kshamasheel,Shankar Mahadevan; Shrinidhi Ghatate,natya-sangeet,,LwFiwAmT34g,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-cls-006,Asa Bebhan Ha Vara,Lata Mangeshkar,marathi-classics; marathi-film,,M9j5IWqz_Hk,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-film-047,Kalya Matit Matit,Suresh Wadkar; Anuradha Paudwal,marathi-classics; marathi-film,,M-i3NsMCrzA,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-71ad5fb1ec26,Saada Sopaa,Avadhoot Gupte,folk,,MeY9MaGUocM,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-707ad1e4e9bb,Mazi Renuka Mauli,Usha Mangeshkar,marathi-bhakti,,N4wQVSwZtns,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-857a669f294b,Jambhul Pikalya Zadakhali,Asha Bhosle; Ravindra,marathi-classics; marathi-film,,NCgEbY8R3jo,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-47a2624b7300,Divas Tujhe He Phulayache,Kunal Ganjawala,romantic; marathi-film,,OpBbHrej6P4,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-7fcf5a6ad9b4,Pasaydaan,Lata Mangeshkar,marathi-bhakti,,OQ_eH6ij8qs,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-f477f3a6ded5,Disate Majla Sukh Chitra Nave,Anuradha Paudwal,marathi-classics; marathi-film,,OtnLFcmr4Mk,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-d9e24ab4cf07,Natali Chaitrachi Navalai,Lata Mangeshkar; Snehprabha Pradhan,marathi-classics; marathi-film,,PAKuxdyv2Ww,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-b4d08dd4f608,Lakh Lakh Chanderi,Master Krishnarao Phulambrikar,marathi-classics; marathi-film,,Q0dWa2O_gNU,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-0dc0f2464357,Ka Suna Suna Zala,Manish Rajgire,romantic; marathi-film,,QaHb7Md3zFE,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-670944b1dcb7,Sajle Re Tujhyachsathi,Chinmayi Shripada; Jasraj Joshi,romantic; marathi-film,,QtLNvneuX78,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-bhakti-019,Sundar Te Dhyan,Lata Mangeshkar,marathi-bhakti,,QxjFBnsJ0sE,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-485784373410,Aaivaj Maza,Sharayu Date,lavani,,RkaozQ9HGrg,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-af94ab77f696,Mala Madan Bhase,Aarya Ambekar,natya-sangeet,,R2GkTV3IM2o,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-dev-002,Vrukshavalli Aamha Soyari,Lata Mangeshkar,marathi-bhakti,,RneauDtFYLA,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-6e51e7e7ad6a,Sanwale Sundar Roop,Pt. Bhimsen Joshi,marathi-bhakti,,S0RqLhEh5Gs,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-d869abb26e56,Nabh Utaru Aala,Asha Bhosle,bhavageet,,S3cHikJC4Vw,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-e0f52582c1ca,Neej Mazya Nandlala,Lata Mangeshkar,bhavageet,,T-0OWdKsJlE,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-7ec850f56fb5,Aale Aale Chhakulya Re,Lata Mangeshkar; Baby Acharekar; Meenakshee,marathi-classics; marathi-film,,SZMfQpc0WLg,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-18b6289e346f,Maka Naka,Avdhoot Gupte; Vaishali Samant,romantic; marathi-film,,TSV41SNFVPs,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-2e515fc641f5,Malyachya Malya Madhi Kon Ga Ubhi,Usha Mangeshkar; Jaywant Kulkarni,lavani,,Tw8fNvTLI5A,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null. Distinct Songadya recording by Usha Mangeshkar/Jaywant Kulkarni; not the Lata Mangeshkar seed Malachya Malyamadhi.
mar-discovery-9c12b10b6d06,Sansar Mandite,Asha Bhosle,marathi-classics; marathi-film,,UCAbLwyQZcs,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-cls-013,Mogara Phulala,Lata Mangeshkar,marathi-bhakti,,UNNUf9xpi0E,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-37988e166354,Hi Chaal Turu Turu,Jaywant Kulkarni,bhavageet,,Ucrd3NL5jmc,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-bhakti-005,Omkar Pradhan Roop Ganeshache,Suman Kalyanpur,marathi-bhakti,,UxmD6ZorNsM,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,Existing identity repaired. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-5dbd33fcc99b,Preet Umalyani,Baby Acharekar; V. S. Jog,marathi-classics; marathi-film,,XOr6SdjHPYY,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-d553db710ee5,Rambha,Ravindra Khomne; Rajeshwari Pawar,lavani,,XpbD6J_AX5s,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-2e8cb0ec9511,Chal Ga Sakhe Pandharila,Prahlad Shinde,marathi-bhakti,,Y4dhNSg5-tY,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-0e16a60e5d53,Aata Tari Deva Mala Pavshil Ka,Prahlad Shinde,marathi-bhakti,,XmU7tfxkpKM,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-b2df6775c4bd,Ram Janmala Ga Sakhi,Sudhir Phadke,marathi-bhakti,,Y9MKguKAnVI,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-60632466a2db,Shatada Prem Karave,Arun Date,bhavageet,,ZB7HlKTq_EQ,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-1399d06dc577,Tu Aai Honar,Aarya Ambekar,romantic; marathi-film,,_FXnyRd8sUs,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
mar-discovery-a67a189b0631,Shubham Karoti Kalyanam,Manik Varma,marathi-bhakti,,_j0_fvA0LnA,Saregama Marathi,WATCH_OK_EMBED_ALLOWED,New song. Individual recording identity and description credits reviewed; watch response OK and embeddable. Unknown release year/film left null.
